RESULTS AT Epoch 29:
Ep.     Loss            Test Loss                       HR@5
0       1.2082661       0.31272253480851653     0.8036
1       0.28835988      0.3087673437545697      0.7731333333333333
2       0.27739725      0.30317671771546206     0.7644
3       0.26731062      0.29853836630781494     0.7568
4       0.25794458      0.2932831170250972      0.7591333333333333
5       0.24926114      0.2900912795613209      0.7522666666666666
6       0.24219805      0.2871763610824943      0.7422
7       0.23532511      0.2890160060857733      0.7192
8       0.22865179      0.28413945005734764     0.7237333333333333
9       0.2226781       0.28287399392127993     0.7166666666666667
10      0.21634066      0.28268907499263685     0.7063333333333334
11      0.21064326      0.2850233819678426      0.6924666666666667
12      0.2045417       0.2794070811902483      0.7048
13      0.19944471      0.29503203383187454     0.6596666666666666
14      0.19450693      0.2875783754388491      0.674
15      0.18976457      0.2922377205982804      0.6612
16      0.18514052      0.29539034404456616     0.6534666666666666
17      0.18104784      0.2924295820236206      0.655
18      0.1769112       0.29868857620259126     0.6415333333333333
19      0.17343837      0.3031927585557103      0.6194666666666667
20      0.16947734      0.30263236170858143     0.6229333333333333
21      0.1665044       0.3034722764402628      0.6191333333333333
22      0.16309713      0.298797782202065       0.6386
23      0.15996866      0.2997438035642107      0.6344666666666666
24      0.15703242      0.31138310491740706     0.5954
25      0.15454417      0.30190489395558834     0.6224
26      0.15178233      0.3049905370975534      0.6102
27      0.14874378      0.3230671473503113      0.5608666666666666
28      0.14673981      0.329553188422819       0.5515333333333333
29      0.1438563       0.33298286585112413     0.5392
